@RELATION games
@ATTRIBUTE queryID	string
@ATTRIBUTE queryName	string
@ATTRIBUTE recommendationCount	real
@ATTRIBUTE Steamspyowners	real
@ATTRIBUTE isFree	real
@ATTRIBUTE categorySinglePlayer	real
@ATTRIBUTE categoryMultiplayer	real
@ATTRIBUTE categoryCoop	real
@ATTRIBUTE categoryMMO	real
@ATTRIBUTE categoryInAppPurchase	real
@ATTRIBUTE categoryIncludesLevelEditor	real
@ATTRIBUTE categoryVrSupport	real
@ATTRIBUTE genreIsNongame	real
@ATTRIBUTE genreIsIndie	real
@ATTRIBUTE genreIsAction	real
@ATTRIBUTE genreIsAdventure	real
@ATTRIBUTE genreIsCasual	real
@ATTRIBUTE genreIsStrategy	real
@ATTRIBUTE genreIsRPG	real
@ATTRIBUTE genreIsSimulation	real
@ATTRIBUTE genreIsEarlyAccess	real
@ATTRIBUTE genreIsFreeToPlay	real
@ATTRIBUTE genreIsSports	real
@ATTRIBUTE genreIsRacing	real
@ATTRIBUTE genreIsMMO	real
@ATTRIBUTE priceInitial	real
@ATTRIBUTE priceFinal	real


@DATA
3700,Sniper-Elite,866,421292,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
3710,Judge-Dredd:-Dredd-vs-Death,425,62772,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99,7.99
3720,Evil-Genius,1195,220241,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
3730,Aliens-versus-Predator-Classic-2000,1084,184013,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
3800,Advent-Rising,226,47169,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
3810,BloodRayne,307,66718,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
3820,BloodRayne-2,224,67256,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
3830,Psychonauts,5130,1413633,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
3900,Sid-Meiers-Civilization-IV,887,1422601,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.99,19.99
3910,Sid-Meiers-Civilization-III:-Complete,1328,1097619,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99
3920,Sid-Meiers-Pirates!,1641,800437,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.99,9.99
3960,Shattered-Union,0,41788,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99
3980,CivCity:-Rome,143,75686,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
